titulo,nota,tipo de nota,diretor,generos
1992,5.8,0 a 10,Ariel Vromen,"Crime, Thriller"
2 Dias em Paris,6.217,0 a 10,Julie Delpy,"Comédia, Romance"
2 Mais 2,6.563,0 a 10,Diego Kaplan,Comédia
20 Anos + Jovem,6.448,0 a 10,David Moreau,Comédia
20 Dias em Mariupol,8.111,0 a 10,Mstyslav Chernov,"Documentário, Guerra"
"20,000 Espécies de Abelhas",7.052,0 a 10,Estibaliz Urresola Solaguren,Drama
20.000 Léguas Submarinas,7.045,0 a 10,Richard Fleischer,"Aventura, Ficção científica, Família"
2001 Maníacos,5.34,0 a 10,Tim Sullivan,"Comédia, Terror"
2001: Uma Odisseia no Espaço,8.072,0 a 10,Stanley Kubrick,"Ficção científica, Mistério, Aventura"
2010: O Ano em que Faremos Contato,6.646,0 a 10,Peter Hyams,"Thriller, Ficção científica"
2012,5.843,0 a 10,Roland Emmerich,"Ação, Aventura, Ficção científica"
2019: O Ano da Extinção,6.276,0 a 10,Michael Spierig,"Ação, Fantasia, Ficção científica"
2021 Nunca Mais,5.992,0 a 10,Jack Clough,Comédia
"2025: Blood, White & Blue",4.2,0 a 10,Josh E. Williams,"Terror, Ação, Comédia"
2037,7.241,0 a 10,Mo Hong-jin,Drama
2067,5.338,0 a 10,Seth Larney,"Ficção científica, Thriller"
21 paraíso,6.2,0 a 10,Néstor Ruiz Medina,Drama
22 Balas,6.7,0 a 10,Richard Berry,"Drama, Crime, Thriller"
22 Milhas,6.22,0 a 10,Peter Berg,"Ação, Thriller"
23,6.837,0 a 10,Hans-Christian Schmid,"Drama, Thriller"
24 Horas com Gaspar,6.672,0 a 10,Yosep Anggi Noen,"Ação, Crime, Drama, Mistério, Ficção científica, Thriller"
24살윤율의섹시한젖가슴,7.222,0 a 10,Diretor não encontrado,"Drama, Romance"
28 Dias,6.129,0 a 10,Betty Thomas,"Comédia, Drama"
3 Days in Malay,4.942,0 a 10,Louis Mandylor,"Ação, Aventura, Guerra"
3 Dias para Matar,6.086,0 a 10,McG,"Ação, Drama, Thriller"
3 Idiotas,7.997,0 a 10,Rajkumar Hirani,"Drama, Comédia"
3 Ninjas,5.671,0 a 10,Jon Turteltaub,"Família, Ação, Aventura, Comédia"
3 Ninjas Contra-Atacam,5.604,0 a 10,Charles T. Kanganis,"Família, Aventura, Ação, Comédia"
3 Ninjas em Apuros,5.072,0 a 10,Shin Sang-ok,"Família, Aventura, Ação, Comédia"
3 jours max,5.36,0 a 10,Tarek Boudali,Comédia
30 Dias de Noite,6.421,0 a 10,David Slade,"Terror, Thriller"
30 Dias de Noite 2: Dias Sombrios,5.0,0 a 10,Ben Ketai,"Terror, Thriller"
30 Noites de Atividade Paranormal com a Filha dos Homens que Não Amavam as Mulheres,4.076,0 a 10,Craig Moss,Comédia
300,7.185,0 a 10,Zack Snyder,"Ação, Aventura, Guerra"
3000 Milhas para o Inferno,5.84,0 a 10,Demian Lichtenstein,"Ação, Aventura, Comédia, Crime, Thriller"
300: A Ascensão do Império,6.11,0 a 10,Noam Murro,"Ação, Drama, Guerra"
3096 Dias de Cativeiro,7.4,0 a 10,Sherry Hormann,Drama
3391 Kilometre,6.2,0 a 10,Deniz Enyüksek,"Romance, Drama"
365 Dias,7.045,0 a 10,Barbara Białowąs,"Romance, Drama"
365 Dias Finais,6.418,0 a 10,Tomasz Mandes,"Romance, Drama"
365 Dias: Hoje,5.87,0 a 10,Barbara Białowąs,"Romance, Drama"
3D 豪情,5.2,0 a 10,Lee Kung-Lok,Comédia
4 Minutos,6.9,0 a 10,Chris Kraus,"Drama, Música"
42: A História de uma Lenda,7.185,0 a 10,Brian Helgeland,Drama
47 Ronins,6.179,0 a 10,Carl Rinsch,"Drama, Ação, Fantasia"
48 Horas,6.682,0 a 10,Walter Hill,"Thriller, Ação, Comédia, Crime, Drama"
"48 Horas, Parte 2",5.978,0 a 10,Walter Hill,"Thriller, Ação, Comédia, Crime, Drama"
50 Greatest Harry Potter Moments,7.437,0 a 10,Diretor não encontrado,Documentário
50%,7.176,0 a 10,Jonathan Levine,"Comédia, Drama"
50대 묵은지 장모님의 유혹,8.7,0 a 10,김태훈,"Romance, Drama"
57 Segundos,6.127,0 a 10,Rusty Cundieff,"Thriller, Ficção científica, Ação"
6 Balas,6.2,0 a 10,Ernie Barbarash,"Thriller, Ação, Crime"
60 Minutos,6.764,0 a 10,Oliver Kienle,Ação
60 Segundos,6.432,0 a 10,Dominic Sena,"Ação, Crime, Thriller"
65: Ameaça Pré-Histórica,5.995,0 a 10,Bryan Woods,"Ação, Aventura, Ficção científica"
7 Desejos,5.7,0 a 10,John R. Leonetti,"Terror, Thriller, Fantasia"
7 Prisioneiros,7.056,0 a 10,Alexandre Moratto,"Drama, Crime"
71: Esquecido em Belfast,6.795,0 a 10,Yann Demange,"Thriller, Ação, Drama, Guerra"
72 Horas,7.079,0 a 10,Paul Haggis,"Romance, Drama, Thriller, Crime"
8 Mile: Rua das Ilusões,7.14,0 a 10,Curtis Hanson,"Drama, Música"
8 Segundos,7.268,0 a 10,John G. Avildsen,"Drama, Romance, Faroeste"
80 for Brady: Quatro Amigas e uma Paixão,6.424,0 a 10,Kyle Marvin,"Comédia, Drama"
82년생 김지영,7.337,0 a 10,Kim Do-young,Drama
8mm: Oito Milímetros,6.454,0 a 10,Joel Schumacher,"Thriller, Crime, Mistério"
9 ½ Semanas de Amor,6.114,0 a 10,Adrian Lyne,"Romance, Drama"
9 ½ Semanas de Amor 2,4.7,0 a 10,Anne Goursaud,"Drama, Romance"
90 Minutos no Paraíso,5.994,0 a 10,Michael Polish,Drama
91:an Karlsson,6.75,0 a 10,Hugo Bolander,Comédia
97 Minutos,4.728,0 a 10,Timo Vuorensola,"Ação, Thriller, Drama"
99 Luas de Paixão,4.5,0 a 10,Jan Gassmann,Drama
9: A Salvação,6.926,0 a 10,Shane Acker,"Ação, Aventura, Animação, Ficção científica, Thriller"
9to5: Days in Porn,5.815,0 a 10,Jens Hoffmann,Documentário
A 36ª Câmara de Shaolin,7.482,0 a 10,Lau Kar-leung,"Ação, Aventura"
A 5ª Onda,5.943,0 a 10,J Blakeson,"Ficção científica, Aventura, Ação"
A Abóbora Mágica,7.5,0 a 10,Frankie Chung,"Drama, Família, Fantasia"
A Academia do Sr. Kleks,6.3,0 a 10,Maciej Kawulski,"Fantasia, Aventura, Família"
A Aparição,6.363,0 a 10,Mike Marvin,"Ação, Ficção científica"
A Arte da Guerra,5.691,0 a 10,Christian Duguay,"Crime, Ação, Aventura"
A Arte de Amar,6.427,0 a 10,Recai Karagöz,"Romance, Ação, Drama"
A Assassina,6.2,0 a 10,John Badham,"Ação, Crime, Thriller"
A Assistente,6.289,0 a 10,Kitty Green,Drama
A Atração do Sexo,5.0,0 a 10,Tinto Brass,"Drama, Comédia"
A Autópsia,6.794,0 a 10,André Øvredal,"Terror, Mistério"
A Avó,5.835,0 a 10,Paco Plaza,"Drama, Terror"
A Babá,6.139,0 a 10,McG,"Comédia, Terror"
A Babá: O Chamado das Sombras,6.433,0 a 10,Svyatoslav Podgaevsky,Terror
A Babá: Rainha da Morte,6.352,0 a 10,McG,"Comédia, Terror"
A Bailarina,6.952,0 a 10,Lee Chung-hyun,"Ação, Aventura, Thriller"
A Balada de Buster Scruggs,7.14,0 a 10,Joel Coen,"Faroeste, Comédia, Drama"
A Balada do Pistoleiro,6.9,0 a 10,Robert Rodriguez,"Thriller, Ação, Crime"
A Baleia,7.856,0 a 10,Darren Aronofsky,Drama
A Barraca do Beijo,7.2,0 a 10,Vince Marcello,"Romance, Comédia"
A Barraca do Beijo 2,7.648,0 a 10,Vince Marcello,"Comédia, Romance"
A Barraca do Beijo 3,6.901,0 a 10,Vince Marcello,"Romance, Comédia"
A Batalha Esquecida,7.104,0 a 10,Matthijs van Heijningen Jr.,"Ação, Guerra, Aventura, História, Drama"
A Batalha da Grã-Bretanha,6.823,0 a 10,Guy Hamilton,"Guerra, História, Ação"
A Batalha de Argel,7.888,0 a 10,Gillo Pontecorvo,"Drama, Guerra, História"
A Batalha de Midway,6.626,0 a 10,Jack Smight,"Ação, Drama, História, Guerra"
A Batalha de Natal,6.1,0 a 10,Reginald Hudlin,"Comédia, Fantasia, Família"
A Batalha de Riddick,6.523,0 a 10,David Twohy,"Ação, Ficção científica"
A Batalha do Biscoito Pop-Tart,5.303,0 a 10,Jerry Seinfeld,"Comédia, História"
A Batalha do Rio da Prata,6.1,0 a 10,Michael Powell,"Drama, História, Guerra"
A Batalha dos Três Reinos,7.148,0 a 10,John Woo,"Aventura, Drama, História, Ação, Guerra"
A Batalha dos Três Reinos II,7.292,0 a 10,John Woo,"Ação, Aventura, Drama, História, Guerra"
A Batida Perfeita,7.012,0 a 10,Nisha Ganatra,"Romance, Comédia, Música, Drama"
A Bela Adormecida,6.952,0 a 10,Clyde Geronimi,"Fantasia, Animação, Romance, Família"
A Bela da Tarde,7.38,0 a 10,Luis Buñuel,"Drama, Romance"
A Bela e a Fera,4.3,0 a 10,Robert Tieman,"Família, Fantasia, Romance"
A Bela e a Fera: O Natal Encantado,6.217,0 a 10,Andrew Knight,"Animação, Família, Fantasia"
A Bela e o Bilionário,6.725,0 a 10,Brian Brough,"Cinema TV, Romance, Comédia"
A Beleza de um Dia,4.1,0 a 10, Andrew Haigh,"Drama, Fantasia, Comédia"
A Boa Metade,5.8,0 a 10,Robert Schwartzman,"Comédia, Drama"
A Bolha Assassina,6.757,0 a 10,Chuck Russell,"Terror, Ficção científica"
A Brigada do Diabo,6.3,0 a 10,Andrew V. McLaglen,"Ação, Drama, Guerra"
A Bruma Assassina,6.723,0 a 10,John Carpenter,Terror
A Bruxa,6.962,0 a 10,Robert Eggers,"Drama, Mistério, Terror, História"
A Bruxa de Blair,6.336,0 a 10,Daniel Myrick,"Terror, Mistério"
A Bruxa de Blair 2: O Livro das Sombras,4.292,0 a 10,Joe Berlinger,"Mistério, Thriller, Terror"
A Bruxa do Cabelo Branco do Reino Lunar,6.257,0 a 10,Jacob Cheung,Fantasia
A Bruxa do Gelo,4.4,0 a 10,Richard John Taylor,Terror
A Bruxa dos Mortos: Baghead,6.595,0 a 10,Alberto Corredor,Terror
A Busca de Groot,7.2,0 a 10,Kirsten Lepore,"Animação, Família, Comédia, Ficção científica"
A Busca pelo Ouro de Tom Sawyer,3.917,0 a 10,Kirk Harris,"Aventura, Família"
A Bíblia... No Início,7.261,0 a 10,John Huston,"Aventura, História, Drama"
A Bússola de Ouro,4.3,0 a 10,Chris Weitz,"Aventura, Fantasia"
A Cabana,7.484,0 a 10,Stuart Hazeldine,"Drama, Fantasia"
A Caixa,5.629,0 a 10,Richard Kelly,"Thriller, Ficção científica"
A Caminho da Lua,7.222,0 a 10,Glen Keane,"Animação, Aventura, Família, Fantasia"
A Caminho de Casa,7.369,0 a 10,Charles Martin Smith,"Drama, Aventura, Família"
A Carne,5.413,0 a 10,Marco Ferreri,"Drama, Romance"
A Carta,7.3,0 a 10,William Wyler,"Crime, Drama"
A Cartada Final,6.695,0 a 10,Frank Oz,"Ação, Crime, Thriller, Mistério"
A Casa Amaldiçoada,5.451,0 a 10,Jan de Bont,"Terror, Thriller, Fantasia, Mistério"
A Casa Assassina,5.7,0 a 10,William Butler,"Terror, Thriller"
A Casa Gucci,4.1,0 a 10, Ridley Scott,"História, Drama, Crime"
A Casa Monstro,6.687,0 a 10,Gil Kenan,"Animação, Comédia, Família, Fantasia"
A Casa Mórbida,0.0,0 a 10,Danielle Krudy,"Terror, Thriller"
A Casa Profunda,6.059,0 a 10,Alexandre Bustillo,Terror
A Casa Que Jack Construiu,7.1,0 a 10,Lars von Trier,"Drama, Terror, Crime, Thriller"
A Casa Sombria,6.612,0 a 10,David Bruckner,"Drama, Terror, Mistério, Thriller"
A Casa da Colina,5.586,0 a 10,William Malone,Terror
A Casa da Noite Eterna,6.7,0 a 10,John Hough,"Terror, Mistério"
A Casa das Coelhinhas,5.656,0 a 10,Fred Wolf,"Romance, Comédia"
A Casa de Cera,6.0,0 a 10,Jaume Collet-Serra,"Mistério, Terror, Thriller"
A Casa de Vidro,5.906,0 a 10,Daniel Sackheim,"Drama, Thriller"
A Casa de Vidro 2,5.4,0 a 10,Steve Antin,"Drama, Thriller"
A Casa do Espanto,6.114,0 a 10,Steve Miner,"Comédia, Terror, Fantasia"
A Casa do Lago,7.024,0 a 10,Alejandro Agresti,"Drama, Mistério, Romance"
A Casa do Medo - Incidente em Ghostland,7.376,0 a 10,Pascal Laugier,"Terror, Mistério, Thriller"
A Casa do Terror,6.689,0 a 10,Scott Beck,"Terror, Thriller"
A Casa dos 1000 Corpos,6.207,0 a 10,Rob Zombie,Terror
A Casa dos Espíritos,6.89,0 a 10,Bille August,"Romance, Drama"
A Casa dos Maus Espíritos,6.779,0 a 10,William Castle,"Terror, Mistério"
A Casa dos Mortos Vivos,6.234,0 a 10,Lucio Fulci,"Terror, Mistério"
A Casa dos Prazeres,6.1,0 a 10,Anissa Bonnefont,"Drama, Comédia, Fantasia, Terror"
A Casa que Pingava Sangue,6.313,0 a 10,Peter Duffell,"Terror, Mistério"
A Caverna,4.0,0 a 10,Sharon Maguire,"Ficção científica, Aventura"
A Caça,7.1,0 a 10,Louis Lagayette,"Terror, Thriller"
A Caça ao Outubro Vermelho,4.5,0 a 10, John McTiernan,"Ação, Aventura, Thriller"
A Caçada,6.648,0 a 10,Craig Zobel,"Ação, Thriller, Terror"
A Caçada ao Outubro Vermelho,7.383,0 a 10,John McTiernan,"Ação, Aventura, Thriller"
A Cela,6.274,0 a 10,Tarsem Singh,"Terror, Ficção científica, Thriller"
A Centopéia Humana,5.241,0 a 10,Tom Six,Terror
A Centopéia Humana 2,4.808,0 a 10,Tom Six,"Drama, Terror, Crime"
A Centopéia Humana 3 (Sequência Final),3.8,0 a 10,Tom Six,"Terror, Comédia"
A Chamada,6.676,0 a 10,Nimród Antal,"Thriller, Ação, Aventura"
A Chance,5.766,0 a 10,Michael Chapman,"Romance, Drama"
A Chave,6.0,0 a 10,Tinto Brass,"Drama, Romance"
A Chave Mestra,6.622,0 a 10,Iain Softley,"Drama, Terror, Mistério, Thriller"
A Chave Mágica,6.447,0 a 10,Frank Oz,"Aventura, Família, Fantasia"
A Chefinha,6.887,0 a 10,Tina Gordon,"Comédia, Fantasia, Romance"
A Chegada,4.3,0 a 10,Mike Nichols,"Drama, Ficção científica, Mistério"
A Chinesa,6.947,0 a 10,Jean-Luc Godard,"Drama, Comédia"
A Chorona,6.417,0 a 10,Jayro Bustamante,"Thriller, Terror, Drama"
A Cidade das Sombras,4.4,0 a 10, Gary Fleder,"Terror, Ficção científica"
A Cidade dos Amaldiçoados,6.083,0 a 10,John Carpenter,"Thriller, Terror, Ficção científica"
A Cidade dos Mortos,6.412,0 a 10,John Llewellyn Moxey,"Mistério, Terror"
A Cidadela dos Robinsons,6.9,0 a 10,Ken Annakin,"Aventura, Família"
A Cinco Passos de Você,8.265,0 a 10,Justin Baldoni,"Romance, Drama"
A Coisa,6.217,0 a 10,Matthijs van Heijningen Jr.,"Terror, Ficção científica, Mistério"
A Colheita do Mal,5.7,0 a 10,Stephen Hopkins,Terror
A Colina Escarlate,6.65,0 a 10,Guillermo del Toro,"Terror, Romance"
A Colônia,5.419,0 a 10,Jeff Renfroe,"Ação, Ficção científica, Thriller"
A Comilança,7.176,0 a 10,Marco Ferreri,"Drama, Comédia"
A Companhia dos Lobos,6.3,0 a 10,Neil Jordan,"Terror, Fantasia"
A Conexão Francesa,7.1,0 a 10,Cédric Jimenez,"Thriller, Crime, Ação"
A Conquista da Honra,6.9,0 a 10,Clint Eastwood,"Guerra, Drama, História"
A Conquista do Oeste,7.012,0 a 10,Henry Hathaway,Faroeste
A Conquista do Planeta dos Macacos,6.175,0 a 10,J. Lee Thompson,"Ação, Ficção científica"
A Cor Púrpura,4.3,0 a 10, Steven Spielberg,Drama
A Cor Que Caiu do Espaço,6.019,0 a 10,Richard Stanley,"Terror, Ficção científica, Mistério, Thriller"
A Cor da Noite,5.7,0 a 10,Richard Rush,"Romance, Mistério, Thriller"
A Cor do Dinheiro,6.855,0 a 10,Martin Scorsese,Drama
A Coragem de Lassie,5.7,0 a 10,Fred M. Wilcox,"Família, Aventura, Drama"
A Corrente do Bem,7.329,0 a 10,Mimi Leder,Drama
A Corrida Maluca,4.5,0 a 10,Jim Drake,"Comédia, Ação"
A Corrida do Século,7.089,0 a 10,Blake Edwards,"Comédia, Aventura"
A Costela de Adão,7.1,0 a 10,George Cukor,"Comédia, Drama, Romance"
A Cratera,6.7,0 a 10,Kyle Patrick Alvarez,"Ficção científica, Ação, Aventura, Família"
A Creche do Papai,5.896,0 a 10,Steve Carr,"Comédia, Família"
A Criada,8.216,0 a 10,Park Chan-wook,"Thriller, Drama, Romance"
A Criatura do Cemitério,5.281,0 a 10,Ralph S. Singleton,Terror
A Cruz de Ferro,7.079,0 a 10,Sam Peckinpah,"Drama, Ação, História, Guerra"
A Crônica Francesa,7.1,0 a 10,Wes Anderson,"Drama, Comédia"
A Culpa é das Estrelas,4.1,0 a 10, Josh Boone,"Romance, Drama"
A Cura,6.334,0 a 10,Gore Verbinski,"Terror, Mistério, Ficção científica"
A Dama de Ferro,4.3,0 a 10,Phyllida Lloyd,"História, Drama"
A Dama de Shanghai,7.352,0 a 10,Diretor não encontrado,"Mistério, Crime, Thriller"
A Dama e o Vagabundo,7.121,0 a 10,Hamilton Luske,"Família, Animação, Romance"
A Dama e o Vagabundo II: As Aventuras de Banzé,6.4,0 a 10,Darrell Rooney,"Família, Animação, Romance, Aventura"
A Dama na Água,4.1,0 a 10,M. Night Shyamalan,"Drama, Fantasia, Mistério"
A Dança dos Pássaros,6.605,0 a 10,Laurel Parmet,Drama
A Dança dos Vampiros,6.944,0 a 10,Roman Polanski,"Comédia, Terror"
A Descoberta Perfeita,6.122,0 a 10,Numa Perrier,"Romance, Comédia"
A Different Man,0.0,0 a 10,Aaron Schimberg,"Drama, Comédia"
A Dinastia da Espada,4.994,0 a 10,Patrick Leung Pak-Kin,"Ação, Aventura, Comédia, Fantasia"
A Ditadura Perfeita,7.3,0 a 10,Luis Estrada,"Drama, Comédia"
A Doce Vida,8.092,0 a 10,Federico Fellini,"Comédia, Drama"
A Dream Beyond the Dark,0.0,0 a 10,Laura Pellegrini,"Drama, Romance"
A Dupla Explosiva,7.427,0 a 10,Marcello Fondato,"Ação, Comédia"
A Dupla Vida de Véronique,7.5,0 a 10,Krzysztof Kieślowski,Drama
A Duquesa,7.0,0 a 10,Saul Dibb,"Drama, História, Romance"
A Dália Azul,6.6,0 a 10,George Marshall,"Crime, Mistério"
A Elefanta do Mágico,6.91,0 a 10,Wendy Rogers,"Animação, Aventura, Família, Fantasia, Comédia"
A Elegância do Ouriço,7.256,0 a 10,Mona Achache,"Comédia, Drama"
A Encruzilhada,7.296,0 a 10,Walter Hill,"Drama, Música, Mistério, Romance"
A Enfermeira Assassina,5.3,0 a 10,Douglas Aarniokoski,"Terror, Thriller"
A Enseada,7.928,0 a 10,Louie Psihoyos,Documentário
A Entidade,6.866,0 a 10,Scott Derrickson,"Terror, Thriller, Mistério"
A Entidade 2,5.883,0 a 10,Ciarán Foy,Terror
A Entrega,6.783,0 a 10,Michaël R. Roskam,"Drama, Crime"
A Entrevista,6.186,0 a 10,Seth Rogen,"Ação, Comédia"
A Equipe da Noite,5.3,0 a 10,Christian Sesma,"Thriller, Ação, Mistério"
A Era da Escuridão,7.245,0 a 10,Kim Jee-woon,"Ação, Thriller"
A Era do Gelo,4.3,0 a 10, Chris Wedge,"Animação, Comédia, Família, Aventura"
A Era do Gelo 2,6.709,0 a 10,Carlos Saldanha,"Animação, Família, Comédia, Aventura"
A Era do Gelo 3,6.754,0 a 10,Carlos Saldanha,"Animação, Comédia, Família, Aventura"
A Era do Gelo 4,6.377,0 a 10,Steve Martino,"Animação, Comédia, Aventura, Família"
A Era do Gelo:  Especial de Natal,6.455,0 a 10,Karen Disher,"Animação, Família, Cinema TV"
A Era do Gelo: A Grande Caçada aos Ovos de Páscoa,6.354,0 a 10,Ricardo Curtis,"Aventura, Animação, Comédia, Família, Cinema TV"
A Era do Gelo: As Aventuras de Buck,6.621,0 a 10,John C. Donkin,"Animação, Comédia, Aventura, Família"
A Era do Gelo: O Big Bang,6.099,0 a 10,Mike Thurmeier,"Aventura, Animação, Família, Comédia"
A Escala: Amizade em Segundo Lugar,5.38,0 a 10,William H. Macy,"Comédia, Romance"
A Escola do Bem e do Mal,7.058,0 a 10,Paul Feig,"Fantasia, Comédia, Aventura, Drama"
A Escolha,7.191,0 a 10,Ross Katz,"Drama, Romance"
A Escolha Perfeita,7.291,0 a 10,Jason Moore,"Comédia, Música, Romance"
A Escolha Perfeita 2,6.858,0 a 10,Elizabeth Banks,"Comédia, Música"
A Escolha Perfeita 3,6.5,0 a 10,Trish Sie,"Comédia, Música"
A Escolha de Sofia,7.331,0 a 10,Alan J. Pakula,"Drama, Romance, Guerra"
A Escorpião Rei,4.1,0 a 10,Chuck Russell,"Ação, Aventura, Fantasia, Ficção científica"
A Espada Era a Lei,7.248,0 a 10,Wolfgang Reitherman,"Animação, Família, Fantasia"
A Espada Mágica: A Lenda de Camelot,6.845,0 a 10,Frederik Du Chau,"Fantasia, Animação, Drama, Romance, Família"
A Espada do Estranho,7.609,0 a 10,Masahiro Ando,"Ação, Animação, História"
A Espada e os Bárbaros,5.4,0 a 10,Albert Pyun,"Ação, Aventura, Fantasia, Terror"
A Espera,4.4,0 a 10,Paolo Sorrentino,"Ficção científica, Aventura, Thriller"
