id,titulo,nota,tipo de nota,diretor,generos
126,O Grande Lebowski,4.4,0 a 10,Joel Coen,"Comédia, Crime"
127,A Máscara,4.3,0 a 10,Chuck Russell,"Ação, Aventura"
128,A Morte de um Ciclista,4.2,0 a 10,Antonio Hernández,"Crime, Drama, Thriller"
129,Lola Rennt,4.4,0 a 10,Tom Tykwer,"Ação, Drama, Thriller"
130,O Príncipe do Egito,4.3,0 a 10,Brenda Chapman,"Aventura, Animação, Drama, Família"
131,O Resgate,4.2,0 a 10,David M. Evans,"Ação, Thriller, Ficção científica"
132,Mulan,4.4,0 a 10,Tony Bancroft,"Animação, Família, Aventura"
133,O Homem Bicentenário,4.2,0 a 10,Chris Columbus,"Ficção científica, Drama"
134,O Livro de Jeremias,4.3,0 a 10,Joel Schumacher,Desconhecido
135,O Projeto Mindhunter,4.1,0 a 10,David Fincher,Desconhecido
136,Coração Valente,4.4,0 a 10,Mel Gibson,"Ação, Drama, História, Guerra"
137,Matrix,4.6,0 a 10,The Wachowskis,Desconhecido
138,Clube da Luta,4.5,0 a 10,David Fincher,Drama
139,O Sexto Sentido,4.4,0 a 10,M. Night Shyamalan,"Mistério, Thriller, Drama"
140,Beleza Americana,4.6,0 a 10,Sam Mendes,Drama
141,Os Outros,4.4,0 a 10,Alejandro Amenábar,"Terror, Mistério, Thriller"
142,O Resgate do Soldado Ryan,4.7,0 a 10,Steven Spielberg,"Drama, História, Guerra"
143,A Vida é Bela,4.7,0 a 10,Roberto Benigni,"Comédia, Drama"
144,O Fabuloso Destino de Amélie Poulain,4.5,0 a 10,Jean-Pierre Jeunet,"Comédia, Romance"
145,O Príncipe do Egito,4.3,0 a 10,Brenda Chapman,"Aventura, Animação, Drama, Família"
146,O Coração do Anjo,4.2,0 a 10,Alan Parker,Desconhecido
147,Lola Rennt,4.4,0 a 10,Tom Tykwer,"Ação, Drama, Thriller"
148,O Pacto dos Lobos,4.3,0 a 10,Christophe Gans,"Aventura, Terror, Ação, História"
149,O Homem Bicentenário,4.2,0 a 10,Chris Columbus,"Ficção científica, Drama"
150,Magnólia,4.4,0 a 10,Paul Thomas Anderson,Drama
151,A Vida em Preto e Branco,4.1,0 a 10,David Anspaugh,"Fantasia, Comédia, Drama"
152,Gladiador,4.6,0 a 10,Ridley Scott,"Ação, Drama, Aventura"
153,Memento,4.5,0 a 10,Christopher Nolan,"Mistério, Thriller"
154,O Senhor dos Anéis: A Sociedade do Anel,4.7,0 a 10,Peter Jackson,"Aventura, Fantasia, Ação"
155,Hidden Dragon,4.5,0 a 10,Ang Lee,"Animação, Família, Aventura"
156,O Grinch,4.3,0 a 10,Ron Howard,"Animação, Família, Comédia, Fantasia"
157,O Patriota,4.3,0 a 10,Roland Emmerich,"Drama, História, Guerra, Ação"
158,American Psycho,4.4,0 a 10,Mary Harron,"Thriller, Drama, Crime"
159,Cast Away,4.4,0 a 10,Robert Zemeckis,"Aventura, Drama"
160,O Jogo da Imitação,4.2,0 a 10,Frank Darabont,"História, Drama, Thriller, Guerra"
161,Requiem for a Dream,4.6,0 a 10,Darren Aronofsky,"Crime, Drama"
162,O Exorcista: O Início,4.1,0 a 10,Paul Schrader,"Terror, Mistério, Thriller"
163,A Nova Cinderela,4.2,0 a 10,Andy Tennant,"Comédia, Família, Romance"
164,X-Men,4.3,0 a 10,Bryan Singer,"Ação, Aventura, Ficção científica, Fantasia"
165,Billy Elliot,4.5,0 a 10,Stephen Daldry,"Drama, Comédia, Música"
166,Os Reis da Rua,4.2,0 a 10,David Ayer,"Ação, Crime, Drama, Thriller"
167,O Senhor dos Anéis: As Duas Torres,4.8,0 a 10,Peter Jackson,"Aventura, Fantasia, Ação"
168,Harry Potter e a Pedra Filosofal,4.5,0 a 10,Chris Columbus,"Aventura, Fantasia"
169,A Bela e a Fera,4.3,0 a 10,Robert Tieman,"Família, Fantasia, Romance"
170,Donnie Darko,4.4,0 a 10,Richard Kelly,"Fantasia, Drama, Mistério"
171,Cidade de Deus,4.7,0 a 10,Fernando Meirelles,"Drama, Crime"
172,Moulin Rouge,4.4,0 a 10,Baz Luhrmann,"Drama, Romance, Música"
173,O Protetor,4.3,0 a 10,Philippe Harel,"Thriller, Ação, Crime"
174,O Vingador,4.2,0 a 10,Chuck Russell,"Ação, Aventura, Ficção científica"
175,Jurassic Park III,4.1,0 a 10,Joe Johnston,"Aventura, Ação, Thriller, Ficção científica"
176,O Escorpião Rei,4.2,0 a 10,Chuck Russell,"Ação, Aventura, Fantasia, Drama"
177,Através da Noite,4.1,0 a 10,David Cronenberg,"Comédia, Drama, Música"
178,O Homem Que Copiava,4.2,0 a 10,José Eduardo Belmonte,"Comédia, Drama, Romance, Crime"
179,Amor à Flor da Pele,4.5,0 a 10,Wong Kar Wai,"Drama, Romance"
180,O Curioso Caso de Benjamin Button,4.3,0 a 10,David Fincher,"Drama, Fantasia, Romance"
181,A Múmia 2,4.1,0 a 10,Stephen Sommers,"Família, Comédia, Fantasia, Cinema TV"
182,O Senhor dos Anéis: O Retorno do Rei,4.9,0 a 10,Peter Jackson,"Aventura, Fantasia, Ação"
183,Chicago,4.6,0 a 10,Rob Marshall,"Comédia, Crime, Drama"
184,Os Incríveis,4.5,0 a 10,Brad Bird,"Ação, Aventura, Animação, Família"
185,O Pianista,4.7,0 a 10,Roman Polanski,Drama
186,A Vila,4.2,0 a 10,M. Night Shyamalan,"Ação, Animação, Fantasia"
187,Gangs de Nova York,4.4,0 a 10,Martin Scorsese,"Drama, História, Crime"
188,Kill Bill: Volume 1,4.4,0 a 10,Quentin Tarantino,"Ação, Crime"
189,Moulin Rouge,4.4,0 a 10,Baz Luhrmann,"Drama, Romance, Música"
190,Hable con Ella,4.5,0 a 10,Pedro Almodóvar,"Drama, Romance"
191,A Última Ceia,4.3,0 a 10,Robert Rodriguez,"Drama, Romance"
192,O Despertar,4.1,0 a 10,Bob Balaban,"Ficção científica, Aventura, Ação"
193,O Coração do Guerreiro,4.2,0 a 10,Domingos de Oliveira,"Ação, Drama, Família, Romance"
194,A Máquina do Tempo,4.0,0 a 10,Simon Wells,"Ficção científica, Aventura, Ação"
195,Em Busca da Terra do Nunca,4.1,0 a 10,Marc Forster,"Drama, Fantasia"
196,O Senhor dos Anéis: O Retorno do Rei,4.9,0 a 10,Peter Jackson,"Aventura, Fantasia, Ação"
197,Matrix Reloaded,4.4,0 a 10,Andy Wachowski,"Aventura, Ação, Thriller, Ficção científica"
198,Finding Nemo,4.6,0 a 10,Andrew Stanton,"Animação, Família"
199,Piratas do Caribe: A Maldição do Pérola Negra,4.5,0 a 10,Gore Verbinski,"Aventura, Fantasia, Ação"
200,Lost in Translation,4.5,0 a 10,Sofia Coppola,"Drama, Romance"
201,O Último Samurai,4.3,0 a 10,Edward Zwick,"Drama, Ação, Guerra"
202,Master & Commander: O Lado de Fora do Mundo,4.2,0 a 10,Peter Weir,"Ação, Comédia, Fantasia"
203,A Caverna,4.0,0 a 10,Sharon Maguire,"Ficção científica, Aventura"
204,O Jardineiro Fiel,4.4,0 a 10,Fernando Meirelles,"Drama, Mistério, Thriller"
205,O Albergue,4.1,0 a 10,Eli Roth,Terror
206,O Marido da Minha Melhor Amiga,4.1,0 a 10,John Hamburg,Desconhecido
207,O Amor Não Tira Férias,4.2,0 a 10,Nancy Meyers,"Comédia, Romance"
208,Na Cama com Madonna,4.0,0 a 10,Jean-Baptiste Mondino,"Música, Documentário"
209,O Exótico Hotel Marigold,4.2,0 a 10,John Madden,"Drama, Comédia"
210,A Hora do Pesadelo,4.1,0 a 10,Wes Craven,Terror
211,Os Incríveis,4.8,0 a 10,Brad Bird,"Ação, Aventura, Animação, Família"
212,A Paixão de Cristo,4.5,0 a 10,Mel Gibson,Drama
213,O Senhor dos Anéis: O Retorno do Rei,4.9,0 a 10,Peter Jackson,"Aventura, Fantasia, Ação"
214,Kill Bill: Volume 2,4.6,0 a 10,Quentin Tarantino,"Ação, Crime, Thriller"
215,Sideways,4.5,0 a 10,Alexander Payne,"Comédia, Drama, Romance"
216,Efeito Borboleta,4.2,0 a 10,Eric Bress,"Ficção científica, Thriller"
217,Desventuras em Série,4.3,0 a 10,Brad Silberling,"Aventura, Comédia, Família"
218,A Escorpião Rei,4.1,0 a 10,Chuck Russell,"Ação, Aventura, Fantasia, Ficção científica"
219,O Estranho Mundo de Jack,4.4,0 a 10,Henry Selick,"Fantasia, Animação, Família"
220,Cazuza: O Tempo Não Pára,4.4,0 a 10,Daniela Thomas,"Drama, Música, História"
221,O Aviador,4.3,0 a 10,Martin Scorsese,Drama
222,A Interpretação dos Sonhos,4.2,0 a 10,David Cronenberg,Desconhecido
223,Mar Não Está pra Peixe,4.1,0 a 10,Andrew Stanton,"Animação, Família"
224,O Mundo de Beakman,4.0,0 a 10,Roberto M. P. Martins,Desconhecido
225,Trovão Tropical,4.2,0 a 10,Ben Stiller,"Ação, Comédia, Aventura, Guerra"
226,Batman Begins,4.8,0 a 10,Christopher Nolan,"Ação, Crime, Drama"
227,O Labirinto do Fauno,4.7,0 a 10,Guillermo del Toro,"Fantasia, Drama, Guerra"
228,Os Infiltrados,4.6,0 a 10,Martin Scorsese,"Drama, Thriller, Crime"
229,Os Fantasmas de Scrooge,4.4,0 a 10,Robert Zemeckis,"Animação, Família, Fantasia"
230,Capote,4.5,0 a 10,Bennett Miller,"Crime, Drama"
231,A Travessia,4.3,0 a 10,Ang Lee,"História, Drama"
232,Madagascar,4.2,0 a 10,Eric Darnell,"Família, Animação, Aventura, Comédia"
233,Histórias Cruzadas,4.4,0 a 10,George Clooney,Drama
234,O Caçador de Pipas,4.2,0 a 10,Marc Forster,Drama
235,O Protetor,4.3,0 a 10,Tony Scott,"Thriller, Ação, Crime"
236,A Dama na Água,4.1,0 a 10,M. Night Shyamalan,"Drama, Fantasia, Mistério"
237,A Caverna,4.0,0 a 10,Ricardo de Montreuil,"Ficção científica, Aventura"
238,Um Jogo de Mestre,4.2,0 a 10,David Frankel,"Ação, Crime, Thriller"
239,A Queda!,4.3,0 a 10,Oliver Hirschbiegel,"Thriller, Ação"
240,Guerra dos Mundos,4.1,0 a 10,Steven Spielberg,"Aventura, Thriller, Ficção científica"
241,O Mínimo para Viver,4.0,0 a 10,Lone Scherfig,Drama
242,O Labirinto do Fauno,4.8,0 a 10,Guillermo del Toro,"Fantasia, Drama, Guerra"
243,O Último Rei da Escócia,4.6,0 a 10,Kevin Macdonald,Drama
244,Os Infiltrados,4.7,0 a 10,Martin Scorsese,"Drama, Thriller, Crime"
245,Babel,4.5,0 a 10,Alejandro González Iñárritu,Drama
246,A Rainha,4.4,0 a 10,Stephen Frears,"Ação, Guerra"
247,Piratas do Caribe: O Baú da Morte,4.5,0 a 10,Gore Verbinski,"Aventura, Fantasia, Ação"
248,O Diabo Veste Prada,4.3,0 a 10,David Frankel,"Drama, Comédia"
249,A Vida Secreta das Palavras,4.3,0 a 10,Isabel Coixet,"Romance, Drama"
250,O Código Da Vinci,4.2,0 a 10,Ron Howard,"Thriller, Mistério"
251,V de Vingança,4.4,0 a 10,James McTeigue,"Ação, Thriller, Ficção científica"
252,O Pacto,4.1,0 a 10,Géla Babluani,"Guerra, Ação, Thriller"
253,Pequena Miss Sunshine,4.5,0 a 10,Valerie Faris,"Comédia, Drama"
254,Os Sem-Floresta,4.2,0 a 10,Tim Johnson,"Família, Comédia, Animação"
255,A Dama de Ferro,4.3,0 a 10,Phyllida Lloyd,"História, Drama"
256,O Fim da Escuridão,4.0,0 a 10,Martin Campbell,"Crime, Drama, Mistério, Thriller"
257,A Última Ceia,4.1,0 a 10,Roberto Rodrigues,"Drama, Romance"
258,Desejo e Reparação,4.7,0 a 10,Joe Wright,"Drama, Romance"
259,Onde Os Fracos Não Têm Vez,4.6,0 a 10,Joel e Ethan Coen,"Crime, Drama, Thriller"
260,O Último Rei da Escócia,4.5,0 a 10,Kevin Macdonald,Drama
261,Ratatouille,4.8,0 a 10,Brad Bird,"Animação, Comédia, Família, Fantasia"
262,A Rede Social,4.6,0 a 10,David Fincher,Drama
263,O Pianista,4.5,0 a 10,Roman Polanski,Drama
264,Harry Potter e a Ordem da Fênix,4.4,0 a 10,Davies Yates,"Aventura, Fantasia"
265,Os Simpsons - O Filme,4.2,0 a 10,David Silverman,"Animação, Comédia, Família"
266,Sangue Negro,4.5,0 a 10,Paul Thomas Anderson,Drama
267,A Bússola de Ouro,4.3,0 a 10,Chris Weitz,"Aventura, Fantasia"
268,A Vida é Bela,4.4,0 a 10,Roberto Benigni,"Comédia, Drama"
269,Transformers,4.3,0 a 10,Michael Bay,"Aventura, Ficção científica, Ação"
270,O Fabuloso Destino de Amélie Poulain,4.2,0 a 10,Jean-Pierre Jeunet,"Comédia, Romance"
271,O Orfanato,4.4,0 a 10,J.A. Bayona,"Terror, Thriller"
272,O Caçador de Pipas,4.2,0 a 10,Marc Forster,Drama
273,A Última Ceia,4.1,0 a 10,Roberto Rodrigues,"Drama, Romance"
274,O Cavaleiro das Trevas,4.9,0 a 10,Christopher Nolan,"Drama, Ação, Crime, Thriller"
275,A Estranha Família de Benjamim Button,4.6,0 a 10,David Fincher,Desconhecido
276,O Lado Bom da Vida,4.5,0 a 10,David O. Russell,"Drama, Comédia, Romance"
277,Wall-E,4.8,0 a 10,Andrew Stanton,"Animação, Família, Ficção científica"
278,Slumdog Millionaire,4.7,0 a 10,Danny Boyle,"Drama, Romance"
279,A Orfã,4.3,0 a 10,J.A. Bayona,"Terror, Thriller, Mistério"
280,O Último Mestre do Ar,4.1,0 a 10,M. Night Shyamalan,"Ação, Aventura, Fantasia"
281,O Código Da Vinci,4.2,0 a 10,Ron Howard,"Thriller, Mistério"
282,Os Estranhas,4.2,0 a 10,Martin McDonagh,"Terror, Thriller"
283,Homem de Ferro,4.6,0 a 10,Jon Favreau,"Aventura, Ação, Ficção científica"
284,Quero Falar com Philip,4.4,0 a 10,Rami Alayan,Desconhecido
285,O Procurado,4.3,0 a 10,Timur Bekmambetov,"Ação, Thriller, Crime"
286,A Viagem de Chihiro,4.5,0 a 10,Hayao Miyazaki,"Animação, Família, Fantasia"
287,Frost/Nixon,4.4,0 a 10,Ron Howard,"Drama, História"
288,A Morte e Vida de Charlie St. Cloud,4.2,0 a 10,Burr Steers,"Drama, Romance"
289,Avatar,4.8,0 a 10,James Cameron,"Ação, Aventura, Fantasia, Ficção científica"
290,Os Infiltrados,4.6,0 a 10,Martin Scorsese,"Drama, Thriller, Crime"
291,Bastardos Inglórios,4.7,0 a 10,Quentin Tarantino,"Drama, Thriller, Guerra"
292,Up - Altas Aventuras,4.6,0 a 10,Pete Docter,"Animação, Comédia, Família, Aventura"
293,Preciosa,4.5,0 a 10,Lee Daniels,"Romance, Drama, Música"
294,O Escafandro e a Borboleta,4.5,0 a 10,Julian Schnabel,"Drama, História"
295,A Estranha Perfeita,4.4,0 a 10,Katherine Hardwicke,"Thriller, Crime, Mistério"
296,Um Sonho de Liberdade,4.4,0 a 10,Michael Mann,"Drama, Crime"
297,Onde Vivem os Monstros,4.3,0 a 10,Spike Jonze,"Família, Fantasia, Drama, Aventura"
298,Star Trek,4.5,0 a 10,J.J. Abrams,"Ação, Aventura, Ficção científica"
299,O Código Da Vinci,4.2,0 a 10,Ron Howard,"Thriller, Mistério"
300,Amor Sem Fronteiras,4.1,0 a 10,Brett Ratner,"Romance, Drama, História"
301,Os Fantasmas de Scrooge,4.3,0 a 10,Robert Zemeckis,"Animação, Família, Fantasia"
302,A Estrada,4.2,0 a 10,John Hillcoat,"Aventura, Drama"
303,Feliz Natal,4.0,0 a 10,Christian Carion,"Drama, Guerra, Romance, História"
304,O Último Mestre do Ar,4.1,0 a 10,M. Night Shyamalan,"Ação, Aventura, Fantasia"
305,A Origem,4.8,0 a 10,Christopher Nolan,"Ação, Comédia, Aventura, Thriller"
306,O Discurso do Rei,4.6,0 a 10,Tom Hooper,"Drama, História"
307,Cisne Negro,4.7,0 a 10,Darren Aronofsky,"Drama, Thriller, Terror"
308,A Rede Social,4.5,0 a 10,David Fincher,Drama
309,Toy Story 3,4.7,0 a 10,Lee Unkrich,"Animação, Família, Comédia"
310,O Lobo de Wall Street,4.5,0 a 10,Martin Scorsese,"Crime, Drama, Comédia"
311,Bravura Indômita,4.4,0 a 10,Joel e Ethan Coen,"Drama, Aventura, Faroeste"
312,O Escritor Fantasma,4.4,0 a 10,Roman Polanski,"Thriller, Mistério"
313,O Todo Poderoso,4.3,0 a 10,Tom Shadyac,Documentário
314,A Garota da Capa Vermelha,4.1,0 a 10,Catherine Hardwicke,"Thriller, Drama, Fantasia, Mistério, Terror"
